item	ipip_id	WARMTH (16PF Factor A: Warmth) 	INTELLECT (Factor B: Reasoning) 	EMOTIONAL STABILITY (Factor C: Emotional Stability) 	ASSERTIVENESS (Factor E: Dominance) 	GREGARIOUSNESS (Factor F: Liveliness) 	DUTIFULNESS (Factor G: Rule-Consciousness) 	FRIENDLINESS (Factor H: Social Boldness) 	SENSITIVITY (Factor I: Sensitivity) 	DISTRUST (Factor L: Vigilance) 	IMAGINATION (Factor M: Abstractedness) 	RESERVE (Factor N: Privateness) 	ANXIETY (Factor O: Apprehension) 	COMPLEXITY (Factor Q1: Openness to Change) 	INTROVERSION (Factor Q2: Self-Reliance) 	ORDERLINESS (Factor Q3: Perfectionism) 	EMOTIONALITY (Factor Q4: Tension) 
Know how to comfort others.	H173	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enjoy bringing people together.	X161	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Feel others' emotions.	E136	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Take an interest in other people's lives.	H1129	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cheer people up.	H1151	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Make people feel at ease.	H107	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Take time out for others.	H160	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Don't like to get involved in other people's problems.	X103	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Am not really interested in others.	X165	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Try not to think about the needy.	E166	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Make insightful remarks.	H1358	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Know the answers to many questions.	H1267	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tend to analyze things.	E125	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Use my brain.	H1215	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Learn quickly.	H1278	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Counter others' arguments.	H1360	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Reflect on things before acting.	H1218, X67	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Weigh the pros against the cons.	H353	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Consider myself an average person.	X125	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Get confused easily.	H855	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Know that I am not a special person.	X234	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Have a poor vocabulary.	X28	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skip difficult words while reading.	H1439	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seldom feel blue.	X156	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Feel comfortable with myself.	X129	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Readily overcome setbacks.	H44	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Am relaxed most of the time.	E141	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Am not easily frustrated.	X59	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Have frequent mood swings.	E92	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
Often feel blue.	X74	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
Dislike myself.	X15	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
Feel desperate.	H947	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
Am easily discouraged.	H647	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
Take charge.	H334, X27	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Want to be in charge.	H793	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Say what I think.	H336	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Am not afraid of providing criticism.	H459	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Take control of things.	H325	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Can take strong measures.	H409	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Wait for others to lead the way.	H976	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
Never challenge things.	H1042	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
Let others make the decisions.	H964	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
Let myself be pushed around.	H1026	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
Am the life of the party.	H34, X94	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Love large parties.	H78, X17	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Joke around a lot.	H86	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Enjoy being part of a loud crowd.	E56	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Amuse my friends.	H1093	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Act wild and crazy.	H871	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Seldom joke around.	X137	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
Don't like crowded events.	X99	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
Am the last to laugh at a joke.	H1447	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
Dislike loud music.	X215	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
Believe laws should be strictly enforced.		0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Try to follow the rules.	X150	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Believe in one true religion.	X35	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Respect authority.	H296	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Like to stand during the national anthem.	X254	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Resist authority.	E45	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
Break rules.	H1346	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
Use swear words.	E111	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
Oppose authority.	H498	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
