item	ipip_id	ASSERTIVENESS (CPI: Dominance [Do]) 	COMPLEXITY (Capacity for Status [Cs] 	SOCIABILITY (Sociability [Sy]) 	ADVENTUROUSNESS (Social Presence [Sp]) 	INSIGHT (Self-Acceptance [Sa]) 	SELF-EFFICACY (Independence [In]) 	DEPTH (Empathy [Em]) 	RESPONSIBILITY (Responsibility [Re]) 	STABILITY (Socialization [So]) 	SELF-CONTROL (Self-Control [Sc]) 	TEMPERANCE (Good Impression [Gi]) 	OPTIMISM (Well-being [Wb]) 	TOLERANCE (Tolerance [To]) 	PLANFULNESS (Achievement via Conformance [Ac]) 	INTELLECT (Achievement via Independence [Ai]) 	COMPREHENSION (Intellectual Efficiency [Ie]) 	COMPETENCE (Psychological-mindedness [Py]) 	DISORDER (Flexibility [Fx]) 	SENTIMENTALITY (Femininity [Fe]) 	INTROVERSION (Vector 1 [V1]) 	DUTIFULNESS (Vector 2 [V2]) 	GOOD-NATURE (Vector 3 [V3]) 	HAPPINESS (Managerial Potential [MP]) 	CALMNESS (Work Orientation [WO]) 	LIBERALISM (Creative Temperament [CT]) 	SECURITY (Leadership [Lp]) 	AMIABILITY (Amicability [Ami]) 	SELF-DISCIPLINE (Law Enforcement Orientation [Leo]) 	POISE (Tough-mindedness [Tm]) 	FORCEFULNESS (Masculinity [B-MS]) 	TIMIDITY (Femininity [B-FM]) 	DOMINANCE (Narcissism [Nar]) 	POLITENESS (Social Desirability [D-SD]) 
Express myself easily.	H17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Try to lead others.	H524	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Automatically take charge.	E1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Know how to convince others.	H1156	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Am the first to act.	H518	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Take control of things.	H325	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Wait for others to lead the way.	H976	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Let others make the decisions.	H964	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Am not highly motivated to succeed.	X110	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Can't come up with new ideas.	H1380	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Carry the conversation to a higher level.	H1227	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Engage in discussions.	H61	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Am willing to talk about myself.	H9	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Understand people who think differently.	H175	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enjoy thinking about things.	E145	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Can see different points of view.	E153	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rarely look for a deeper meaning in things.	E77	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Do not like concerts.	X144	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
