item	ipip_id	INTELLECTUAL COMPLEXITY (JPI: Complexity [Cpx]) 	INTELLECTUAL BREADTH (JPI: Breadth of Interest [Bdi]) 	INGENUITY (JPI: Innovation [Inv]) 	TOLERANCE (JPI: Tolerance [Tol]) 	EMPATHY (JPI: Empathy [Emp]) 	ANXIETY (JPI: Anxiety [Axy]) 	CONFORMITY (JPI: Cooperativeness [Cpr]) 	SOCIABILITY (JPI: Sociability [Soc]) 	SOCIAL-CONFIDENCE (JPI: Social Confidence [Scf]) 	ACTIVITY-LEVEL (JPI: Energy Level [Enl]) 	MACHIAVELLIANISM (JPI: Social Astuteness [Sas]) 	RISK-TAKING (JPI: Risk Taking [Rkt]) 	ORGANIZATION (JPI: Organization [Org]) 	TRADITIONALISM (JPI: Traditional Values [Trv]) 	RESPONSIBILITY (JPI: Responsibility [Rsy]) 
Believe in the importance of art.	X123	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Have a rich vocabulary.	H1276, X245	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enjoy examining myself and my life.	E133	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enjoy discussing movies and books with others.	E47	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Try to examine myself objectively.	E173	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Am not interested in abstract ideas.	X228	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Try to avoid complex people.	E171	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Avoid philosophical discussions.	X248	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Am not interested in theoretical discussions.	X239	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Do not like poetry.	X45	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Love to read challenging material.	X211	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Find political discussions interesting.	X174	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Am interested in many things.	H2021	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Love to learn new things.	H1265	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Want to increase my knowledge.	H1213	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Do not enjoy going to art museums.	X235	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
Do not like art.	X86	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
Prefer to stick with things that I know.	X30	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
Avoid difficult reading material.	X109	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
Do not like concerts.	X144	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
Love to think up new ways of doing things.	X225	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Have a vivid imagination.	X14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Am full of ideas.	H53	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Carry the conversation to a higher level.	H1227	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Come up with bold plans.	H447	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
